id,filename,status,issue_codes,path
overbed_table_01,overbed_table_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\overbed_table_01.png
oxygen_concentrator_01,oxygen_concentrator_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\oxygen_concentrator_01.png
oxygen_cylinder_mobile_01,oxygen_cylinder_mobile_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\oxygen_cylinder_mobile_01.png
paper_roll_holder_01,paper_roll_holder_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\paper_roll_holder_01.png
patient_chair_exam_room_01,patient_chair_exam_room_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\patient_chair_exam_room_01.png
patient_monitor_bedside_compact_01,patient_monitor_bedside_compact_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\patient_monitor_bedside_compact_01.png
patient_monitor_floor_01,patient_monitor_floor_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\patient_monitor_floor_01.png
patient_monitor_wall_01,patient_monitor_wall_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\patient_monitor_wall_01.png
patient_room_wardrobe_01,patient_room_wardrobe_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\patient_room_wardrobe_01.png
patient_room_waste_bin_01,patient_room_waste_bin_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\patient_room_waste_bin_01.png
patient_scale_01,patient_scale_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\patient_scale_01.png
patient_storage_cabinet_01,patient_storage_cabinet_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\patient_storage_cabinet_01.png
patient_warming_unit_01,patient_warming_unit_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\patient_warming_unit_01.png
pcr_thermal_cycler_01,pcr_thermal_cycler_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\pcr_thermal_cycler_01.png
pet_ct_scanner_01,pet_ct_scanner_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\pet_ct_scanner_01.png
pharmacy_clean_bench_01,pharmacy_clean_bench_01.png,warning,touching_canvas_edge,C:\Users\USER\RastalR-Modern\staging\pending\normalized\pharmacy_clean_bench_01.png
pharmacy_compounding_workstation_01,pharmacy_compounding_workstation_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\pharmacy_compounding_workstation_01.png
pharmacy_dispensing_counter_01,pharmacy_dispensing_counter_01.png,pass,,C:\Users\USER\RastalR-Modern\staging\pending\normalized\pharmacy_dispensing_counter_01.png
